ISP,Country,ASN
IomartCloudServicesLimited,GB,AS20860 IOMART CLOUD SERVICES LIMITED
"Choopa,LLC",GB,"AS20473 The Constant Company, LLC"
Ask4Limited,GB,AS41230 Ask4 Limited
LeaseWebNetherlandsB.V.,GB,AS60781 LeaseWeb Netherlands B.V.
Amazon.com,FR,"AS16509 Amazon.com, Inc."
AdvancedITServicesNottinghamLtd,GB,AS15689 Advanced IT Services Nottingham Ltd
OuihebergSarl,FR,AS208226 OUIHEBERG SARL
MultacomCorporation,GB,AS9009 M247 Ltd
ZenInternetLtd,GB,AS13037 Zen Internet Ltd
TaliaLimited,IQ,AS200697 Dijlat Al-Khair for communications and internet Ltd
Heficed,GB,AS62240 Clouvider
VirginMedia,GB,AS5089 Virgin Media Limited
Globalnet,TN,AS37671 3S INF
TalkTalk,GB,AS13285 TalkTalk Communications Limited
M247Ltd,ES,AS9009 M247 Ltd
UK2.NET,US,AS13213 UK-2 Limited
Plusnet,GB,AS6871 Plusnet
OracleSvenskaAB,GB,AS31898 Oracle Corporation
EE,GB,AS12576 EE Limited
CommunityFibreLimited,GB,AS201838 Community Fibre Limited
MicrosoftCorporation,US,AS8075 Microsoft Corporation
SkyBroadband,GB,AS5607 Sky UK Limited
VodafoneUK,GB,AS5378 Vodafone Limited
Three,GB,AS206067 Hutchison 3G UK Limited
HyperopticLtd,GB,AS56478 Hyperoptic Ltd
CablecomNetworking,GB,AS42689 Glide Student & Residential Limited
Linode,GB,"AS63949 Linode, LLC"
DhivehiRaajjeygeGulhunPlc,MV,AS7642 DHIVEHI RAAJJEYGE GULHUN PLC
DhivehiRaajjeygeGulhun(DHIRAAGU),MV,AS7642 DHIVEHI RAAJJEYGE GULHUN PLC
OoredooMaldives,MV,AS55944 Ooredoo Maldives Plc
SpmTelecom,PM,AS3695 SPM TELECOM
UniversidadeDeSaoPaulo,BR,AS28571 UNIVERSIDADE DE SAO PAULO
ItsTelecomunicacoesLtda,BR,AS28186 ITS TELECOMUNICACOES LTDA
VexTelecomServicosDeTelecomunicacaoLtda,BR,AS262312 VEX TELECOM SERVIÇOS DE TELECOMUNICAÇÃO LTDA
MicronServicosDeTecnologiaEireli,BR,AS263351 MICRON SERVICOS DE TECNOLOGIA EIRELI
AlgarTelecom,BR,AS16735 ALGAR TELECOM S/A
VamosInternetTelecomLtda,BR,AS269220 Vamos Internet Telecom Ltda
ClaroNET,BR,AS28573 CLARO S.A.
RedeNacionaldeEnsinoePesquisa,BR,AS1916 Rede Nacional de Ensino e Pesquisa
CoonexaoTelecomeInformaticaEIRELI,BR,AS264178 Coonexão Telecom e Informática EIRELI
Amazon.com,FR,"AS16509 Amazon.com, Inc."
NetjacareiTeleconLtda,BR,AS53081 Netjacarei Telecon Ltda
MegaTopMultimidiaLtda-me,BR,AS268664 MEGA TOP MULTIMÍDIA LTDA-ME
InspireTelecom-Eireli,BR,AS263467 INSPIRE TELECOM - EIRELI
R.aInternet,BR,AS266136 R.A INTERNET
LIVETIM,BR,AS26615 TIM S/A
InterSoftInternetSoftwareEIRELI,BR,AS262424 InterSoft Internet Software EIRELI
MaxihostLTDA,IL,AS12400 Partner Communications Ltd.
OiVelox,BR,AS7738 Telemar Norte Leste S.A.
FiberOneDoBrasilLtdaMe,BR,AS263567 FIBER ONE DO BRASIL LTDA ME
AmbienteVirtualSistemaseConectividadeLtda,BR,AS262490 Ambiente Virtual Sistemas e Conectividade Ltda
ZaapnetTelecomunicacoes,BR,AS265278 ZAAPNET TELECOMUNICACOES
LinkNetTelecomunicacoesLtda-ME,BR,AS268122 Link Net Telecomunicações Ltda - ME
VoobTelecom,BR,AS266520 VOOB TELECOM
RedeBrasileiradeComunicacaoSA,BR,AS28202 Rede Brasileira de Comunicacao S/A
FelipeMauricioDeQueiroz,BR,AS265457 FELIPE MAURICIO DE QUEIROZ
VipBrTelecomS.A.,BR,AS52613 VIP BR TELECOM S.A.
ZeusTelecom,,
UnifiqueTelecomunicacoesSA,BR,AS28343 Unifique Telecomunicações SA
Vivo,BR,AS27699 TELEFÔNICA BRASIL S.A
LouvetelComunicacaoComercialLtdaME,BR,AS263110 Louvetel Comunicação Comercial Ltda ME
SolTelecomunicacionesS.A.,PY,AS263717 SOL TELECOMUNICACIONES S.A.
SKYNETTelecomunicacoesEireli,BR,AS52783 SKYNET TELECOMUNICACOES EIRELI
TIMLIVE,BR,AS26615 TIM S/A
RDFInformaticaLtda,BR,AS53139 RDF Informatica Ltda
OracleCloud,CA,AS31898 Oracle Corporation
CHARLLEYPEREIRADASILVA,BR,AS267156 CONECTELL TELECOM
StarWebTelecomunicacoesLtda,BR,AS271724 StarWeb Telecomunicacoes Ltda
DesktopSigmanetComunicacaoMultimidiaSA,BR,AS28649 Desktop Sigmanet Comunicação Multimídia SA
TremnetFibra,BR,AS16735 ALGAR TELECOM S/A
BrisanetServicosDeTelecomunicacoesLtda,BR,AS28126 BRISANET SERVICOS DE TELECOMUNICACOES LTDA
NovaRedeTelecom,BR,AS266563 NOVA REDE TELECOM
Turbi,BR,AS264162 NC BRASIL TELECOM E SERVICOS LTDA- ME
BinaryNetTelecomunicacoesEireli,BR,AS268771 BINARY NET TELECOMUNICAÇÕES EIRELI
CLICKNET,BR,AS270984 MVM PINTO COMERCIO E SERVICOS ME
OiInternet,BR,AS8167 OI S.A. - EM RECUPERACAO JUDICIAL
Oeste-redePrestacaodeServicodeInternetLtda,BR,AS270273 Oeste-rede Prestação de Serviço de Internet Ltda
LykeNetTelecomSolucoesEmTelecomunicacoesLtda,BR,AS268561 LYKE NET TELECOM SOLUÇÕES EM TELECOMUNICAÇÕES LTDA
SBB,RS,AS31042 Serbia BroadBand-Srpske Kablovske mreze d.o.o.
TelCommunicationsL.L.C.,XK,AS47588 TEL COMMUNICATIONS L.L.C.
A1Srbijad.o.o,RS,AS44143 A1 Srbija d.o.o
SAT-TRAKTDOO,DM,AS40945 SAT TELECOMMUNICATIONS LTD
OrionTelekom,RS,AS52116 Orion Telekom Tim d.o.o.Beograd
TelekomSrbija,RS,AS8400 TELEKOM SRBIJA a.d.
Sat-TraktD.O.O.,UA,AS21310 Satellite Ltd
TRUFd.o.o.,RS,AS52026 TRUF d.o.o.
YUnetInternationald.o.o.,RS,AS8771 YUnet International d.o.o.
Joteld.o.o.,RS,AS197423 Jotel d.o.o.
KrajnalicKomunikacijed.o.o.,RS,AS199493 Krajnalic Komunikacije d.o.o.
SamostalnaRadnjaZaTelekomunikacijeEwirelessIg,RS,AS200923 SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA
BeotelNet-ISPd.o.o,RS,AS6700 BeotelNet-ISP d.o.o
ArtmotionSh.p.k.,AL,AS33983 ARTMOTION SH.P.K.
Sabotronic,RS,AS41897 Sat-Trakt D.O.O.
N.T.SH.Vista,XK,AS203675 N.T.SH. Vista
Telenord.o.o.,RS,AS15958 CETIN Ltd. Belgrade
OrionTelekomTimd.o.o.Beograd,RS,AS28964 Orion Telekom Tim d.o.o.Beograd
AstraTelekomDooBeograd,RS,AS203877 ASTRA TELEKOM DOO BEOGRAD
AkademskamrezaRepublikeSrbije-AMRES,RS,AS13092 Akademska mreza Republike Srbije - AMRES
GNET-ISPd.o.o.,RS,AS51002 GNET-ISP d.o.o.
MOSTNETISP,RS,AS8400 TELEKOM SRBIJA a.d.
Flow,JM,AS30689 FLOW
DigicelBarbados,BB,AS14813 Columbus Telecommunications (Barbados) Limited
ZiggoBusiness,NL,AS33915 Vodafone Libertel B.V.
NFOrceInternetServices,NL,AS43350 NForce Entertainment B.V.
Scaleway,NL,AS12876 ONLINE S.A.S.
DatacampLimited,SG,AS212238 Datacamp Limited
Heficed,NL,AS209181 Zenex 5ive Limited
KPN,NL,AS1136 KPN B.V.
WorldStreamB.V.,NL,AS49981 WorldStream B.V.
Ziggo,NL,AS33915 Vodafone Libertel B.V.
IPVolumeinc,NL,AS202425 IP Volume inc
TelecomEgypt,EG,AS8452 TE-AS
HostingtechnologyLTD,NL,AS207651 Hosting technology LTD
MicrosoftCorporation,US,AS8075 Microsoft Corporation
FastLineForCommunicationAndInformationTechnol,IQ,AS3178 FastLine For Communication And Information Technology Ltd
VirginMediaIreland,IE,AS6830 Liberty Global B.V.
ThreeIreland,IE,AS13280 Three Ireland (Hutchison) limited
WestTel,KY,AS36549 WestTel Ltd.
TransDigital(pvt)Ltd,PK,AS142300 KK TELECOM PRIVATE LIMITED
Ufone,PK,AS56167 PTML-PK
FibercomTechnologiesPrivateLimited,PK,AS142127 Fibercom Technologies (Private) Limited
WorldcallBroadbandLimited,PK,AS38710 Worldcall Broadband Limited
NetrixPvt,PK,AS147023 Netrix Pvt Ltd
MultinetPakistanPvt.,PK,AS9260 Multinet Pakistan Pvt. Ltd.
FariyaNetworksPvt.,PK,AS45814 Fariya Networks Pvt. Ltd.
CMPakLimited,PK,AS59257 CMPak Limited
NationalTelecommunicationCorporationHQ,PK,
MSNetworksPvt.Ltd,PK,AS142150 MIAN SIDDIQUE NETWORKS (PRIVATE) LIMITED
S.BLinkNetworkpvtLtd,PK,AS134489 S. B Link Network
NayatelPvt,PK,AS23674 Nayatel (Pvt) Ltd
SpecialCommunicationOrganization,PK,AS18053 Special Communication Organization
TransWorldEnterpriseServicesPrivateLimited,PK,AS138655 Trans World Enterprise Services (Private) Limited
UltraLink(Pvt)Limited.,PK,AS136790 INTENSE COMMUNICATION (PRIVATE) LIMITED.
Login,PK,AS131471 Login.Me (Pvt) Ltd
ConnecTEL,PK,AS55501 141-143 Maulana Shaukat Ali Road
BrainNet,PK,AS17911 Brain Telecommunication Ltd.
NetpointIT&CommunicationsPvt.,PK,AS138926 Netpoint IT & Communications Pvt. Ltd
Cybernet,PK,AS9541 Cyber Internet Services (Pvt) Ltd.
"PERNASContentServieProvider,Islamabad,Pakist",PK,"AS45773 PERN AS Content Servie Provider, Islamabad, Pakistan"
NETZÉ,,
Fiberish(Pvt)Ltd.,PK,AS141342 FIBERISH (PVT) LTD
ASSNTelecom,PK,AS140210 ConnectX
MobilinkMobileInternet,PK,AS45669 PMCL /LDI IP TRANSIT
SignInPvt.Ltd,PK,AS140607 Sign In (PVT) LTD
LeoNetPvt.Ltd.,PK,AS23607 LeoNet Pvt. Ltd.
SmartMultimediaPvtLtd.,PK,AS140608 SMART MULTIMEDIA (PRIVATE) LIMITED
TUFATelecommunicationPvt,PK,AS139088 TUFA Telecommunication (Pvt) Ltd.
OptixPakistanPvt.Ltd.,PK,AS136384 Optix Pakistan (Pvt.) Limited
PTCL,PK,AS17557 Pakistan Telecommunication Company Limited
Wancom(Pvt)Ltd.,PK,AS136525 Wancom (Pvt) Ltd.
GalaxyBroadband,PK,AS139879 Galaxy Broadband
TzeesMultiServicesPvt.Limited,PK,AS141432 Tzee's Multi Services (Pvt.) Limited
LINKdotNETTelecomLimited,PK,AS23966 LINKdotNET Telecom Limited
KhanTelecom,PK,AS140499 Khan Telecom
UnitelNetwork(Pvt)Ltd,PK,AS141023 ADG LDI (PRIVATE) LIMITED
TelenorPakistan,PK,AS24499 Telenor Pakistan
ConnectCommunications,PK,AS132165 Connect Communications
MultanCable&InternetServicesPvt,PK,AS135003 Multan Cable & Internet Services (Pvt) Ltd
AinDice,PK,AS147066 Ain Dice (Private) Limited
SNFiber,PK,AS55714 Fiberlink Pvt.Ltd
MasterCommunicationsPvt.Ltd.,PK,AS136030 Redtone Telecommunications Pakistan (Private) Limited
NowTel,PK,AS140499 Khan Telecom
MyNetBroadband(Pvt.)Ltd,,
OptixPakistanPrivateLimited,PK,AS136384 Optix Pakistan (Pvt.) Limited
FiberlinkPvt.Ltd,PK,AS55714 Fiberlink Pvt.Ltd
TelcomastersPVT.LTD.,PK,AS137047 TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED
KkTelecomPrivateLimited,PK,AS142300 KK TELECOM PRIVATE LIMITED
SkyNetz,PK,AS147066 Ain Dice (Private) Limited
GRACE,PK,AS147018 MIAN INTERNET SERVICES (Pvt.) Ltd
Net-CloudTelecom,RU,AS200066 NETKOM-E Ltd.
BroadbandBusinessIdeasPvt.Ltd,PK,AS138039 Broadband Business Ideas (PVT.) Limited
WateenTelecom,PK,AS38264 National WiMAX/IMS environment
FariyaNetworks,PK,AS45814 Fariya Networks Pvt. Ltd.
Home-Net,TW,AS9416 Hoshin Multimedia Center Inc.
DuosLinksCommunicationPvt.,PK,AS149280 Duos Links Communication Pvt. Ltd
VisiontelecomPrivatelimited,PK,AS133495 Vision telecom Private limited
CactusNetworkSolutions(CNS)PvtLtd,PK,AS135632 Cactus Network Solutions (CNS) Pvt Ltd
SharpTelecomPrivateLimited,PK,AS9387 SHARP TELECOM (PRIVATE) LIMITED
GerrysInformationTechnologyPvt,PK,AS23750 GERRYS INFORMATION TECHNOLOGY PVT LTD.
NetGate(Pvt)Ltd,PK,AS142295 Net Gate (Pvt) Ltd
SUPERUSER,PK,AS136969 KK Networks (Pvt) Ltd.
INSTACOMPvt.,PK,AS17557 Pakistan Telecommunication Company Limited
TransworldAssociatesPvt.,PK,AS38193 Transworld Associates (Pvt.) Ltd.
KKNetworksPvt,PK,AS136969 KK Networks (Pvt) Ltd.
FiberBeamPvtLimited,PK,AS141711 Fiber Beam Pvt Limited
HazaraCommunication,PK,AS142552 KCN
NetSolConnect,PK,AS17539 NetSol Connect
SupernetLimitedTransit,PK,AS24435 Supernet Limited Transit Autonomous System Number
SamzBroadband,PK,AS142559 Samz Broadband Networx ( SMC-PRIVATE ) LTD
AeroCablePvtLtd,PK,AS138910 N/A
WellNetworksPvt.Ltd,PK,AS139043 WellNetworks (Private) Limited
Fibercom,PK,AS142127 Fibercom Technologies (Private) Limited
GemnetEnterpriseSolutionsPvt,PK,AS58893 Gemnet Enterprise Solutions Pvt Ltd
SHARPTELECOM(PRIVATE)LIMITED,PK,AS136969 KK Networks (Pvt) Ltd.
FiberishPvtLtd,PK,AS141342 FIBERISH (PVT) LTD
KCN,PK,AS142552 KCN
TheProfessionalCommunicationsPvt,PK,AS136174 The Professional Communications Pvt Ltd
GreenBroadband,,
NPCN,PK,AS140594 New Pakistan Cable Network (Firm)
GetlinksSMC-PrivateLimited,PK,AS140900 Getlinks (SMC-Private) Limited
CyberInternetServices(Pvt)Ltd,PK,AS9541 Cyber Internet Services (Pvt) Ltd.
EboneNetworkPVT.Limited,PK,AS58895 Ebone Network (PVT.) Limited
DreamInternetServicesPvt,PK,AS141778 Dream Internet Services Pvt Ltd
PaknetLimitedMergedintoPTCL,PK,AS17557 Pakistan Telecommunication Company Limited
SUx,PK,AS142150 MIAN SIDDIQUE NETWORKS (PRIVATE) LIMITED
LahoreExpress,PK,AS55714 Fiberlink Pvt.Ltd
WorldcallTelecomLimited,PK,AS38616 Worldcall Telecom Limited
AeroCommunicationsBroadbandPvt.,PK,AS139351 AERO COMMUNICATIONS BROADBAND PVT. LTD
MultiCityBroadBandPvt,PK,AS140045 MultiCity Broad Band Pvt Ltd
DeltaNetworks,PK,AS9937 Delta Networks
SBCommunications(Pvt)Ltd.,PK,AS139043 WellNetworks (Private) Limited
Login.MePvt,PK,AS131471 Login.Me (Pvt) Ltd
Nexlinx,PK,AS17563 Autonomous System Number for Nexlinx
OptixPakistanPvt.Limited,PK,AS136384 Optix Pakistan (Pvt.) Limited
WayLink(Pvt.)Ltd.,PK,AS137561 WAYLINK
LogitechCable(Private)Limited,PK,AS141372 Logitech Cable (Private) Limited
Nema,FO,AS20963 P/F Kall
P/FTelefonverkid,,
OrangeCoted'Ivoire,CI,AS29571 Orange Côte d'Ivoire
MtnCoteD'ivoireS.A,CI,AS36974 MTN COTE D'IVOIRE S.A
Swisscom,CH,AS3303 Swisscom (Schweiz) AG
PrivateLayerINC,,
UPCSchweiz,CH,AS6830 Liberty Global B.V.
Sunrise,CH,AS6730 Sunrise UPC GmbH
AwaserOmanLLC,OM,AS204170 Awaser Oman LLC
OoredooOman,OM,AS50010 Omani Qatari Telecommunications Company SAOC
E-NetworksInc.,RU,AS51604 JSC ER-Telecom Holding
GuyanaTelephone&TelegraphCo.,GY,AS19863 Guyana Telephone & Telegraph Co.
Asintelvision,SC,AS36902 Intelvision Ltd
TigoStarCostaRica,,
GrupoICE,CR,AS11830 Instituto Costarricense de Electricidad y Telecom.
CableTica,CR,AS52228 Cable Tica
ClaroCostaRica,CR,AS14754 Telgua
TuruncunetIletisimSan.Tic.Ltd.Sti.,TR,AS205877 TURUNCUNET ILETISIM SAN. TIC. LTD. STI.
AlfaIletisimHizmetleriPazarlamaTicaretA.s.,TR,AS207782 ALFA ILETISIM HIZMETLERI PAZARLAMA TICARET A.S.
AlanyanetTelekom,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
TeknobossTeknolojiVeDanismanlikHizmetleriLimi,TR,AS201364 TEKNOBOSS TEKNOLOJI VE DANISMANLIK HIZMETLERI LIMITED SIRKETI
FibimFibernetGsmSan.veTic.A.s,TR,AS213145 FIBIM FIBERNET GSM SANAYI VE TICARET ANONIM SIRKETI
PoyrazwifiLimitedCompany,TR,AS212538 Poyrazwifi Limited Company
HighSpeed,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
GIBIRNet,TR,AS208972 GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI
Yakanet,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
SuperonlineADSL,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
GuneydoguTelekomint.bil.veilt.hiz.tic.ltd.,,
TelkoturkIletisimHizmetleriA.S.,TR,AS209956 Telkoturk Iletisim Hizmetleri A.S.
TurkcellSuperonline,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
VodafoneTurkey,TR,AS8386 VODAFONE NET ILETISIM HIZMETLERI ANONIM SIRKETI
HighSpeedTelekomunikasyonveHab.Hiz.Ltd.Sti.,TR,AS202561 High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.
E-LCOMNETWORK,RU,AS42682 JSC ER-Telecom Holding
RamtekTelekomunikasyonHizmetleriSanayiVeTicar,TR,AS29399 Ramtek Telekomunikasyon Hizmetleri Sanayi Ve Ticaret Limited Sirketi
DigiTurunc,,
KocaeliInternetSanayiVeTicaretLimitedSirketi,TR,AS211735 KOCAELI INTERNET SANAYI VE TICARET LIMITED SIRKETI
NetcityBilisimTeknolojileriYazilimInternetVe,,
MillenicomTurkey,TR,AS34296 Millenicom Telekomunikasyon Hizmetleri Anonim Sirketi
TurkTelekom,TR,AS9121 Turk Telekomunikasyon Anonim Sirketi
IhsanDogramaciBilkentUniversity,TR,AS8466 Ihsan Dogramaci Bilkent University
VeganetTelekom,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
BatiEgeBilisimVeIletisimHizmetleriSanayiVe,TR,AS211104 BATI EGE BILISIM VE ILETISIM HIZMETLERI SANAYI VE TICARET LTD.STI.
Turkcell,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
AtlantisTelekomunikasyonBilisimHizmetleriSan.,TR,AS204457 Atlantis Telekomunikasyon Bilisim Hizmetleri San. Tic. Ltd
GOKNETlletisimA.S.,TR,AS201411 GOKNET iletisim A.S.
M247Ltd,GB,AS9009 M247 Ltd
SYRIACOM,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
SAKNETTELEKOM,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
FIXNETTelekomunikasyonLimitedSirketi,TR,AS47288 FIXNET Telekomunikasyon Limited Sirketi
TeknobilTelekom,TR,AS15924 VODAFONE NET ILETISIM HIZMETLERI ANONIM SIRKETI
AtlantisNet,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
KentWifiLtd,TR,AS207620 Kentwifi Iletisim Hizmetleri LTD Sirketi
Goknet,TR,AS201411 GOKNET iletisim A.S.
TEPENETINTERNET,TR,AS207519 TEPENET INTERNET TELEKOMUNiKASYON iLETiSiM LiMiTED SiRKETi
AratTelekominikasyon,TR,AS209380 Arat Telekominikasyon Tek. Bil.Hiz.San. ve Tic. Ltd.Sti
Turksat,TR,AS47524 Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
SibanetTelekom,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
AYTELEKOM,TR,AS34984 Superonline Iletisim Hizmetleri A.S.
RekornetTelekomunikasyonVeBilisimHizmetleriLt,TR,AS204348 Rekornet Telekomunikasyon Ve Bilisim Hizmetleri Ltd. Sirketi
FarknetTelekomunikasyonveBilisimHizmetleriLtd,TR,AS205935 Farknet Telekomunikasyon ve Bilisim Hizmetleri Ltd. Sti.
AndromedaTvDigitalPlatformIsletmeciligiA.s.,TR,AS12978 DOGAN ONLINE
Rüzgarnet,,
BinbirNet,TR,AS211335 BINBIR NET INTERNET BILISIM VE HABERLESME TEKNOLOJI SANAYI TICARET LIMITED SIRKETI
ExtranetIletisimHizmetleriA.S.,TR,AS203399 Extranet Iletisim Hizmetleri A.S.
GoldsurfInternetLtd,TR,AS198436 GOLDSURF INTERNET LTD
EnterNET,,
CerenNetBilisimTelekomunikasyonHaberlesmeTic.,TR,AS209714 CEREN NET BILISIM TELEKOMUNIKASYON HABERLESME TIC.LTD.STI.
TurkNet,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
SpeednetTelekomunikasyon,TR,AS212905 SPEED NET INTERNET ILETISIM HABERLESME TIC.LTD.STI
Sonet,TR,AS203216 Sonet Internet Erisim Hizmetleri San. ve Tic. LTD. STI
NationalAcademicNetworkandInformationCenter,TR,AS8517 National Academic Network and Information Center
NETSPEED,TR,AS206375 NETSPEED INTERNET A.S.
InternetKutusu,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
TanerTemel,TR,AS207459 Taner Temel
ÖZTEKNET,,
KewikoLLC,MN,AS56293 Kewiko LLC
MobinetLLC.ASMobinetInternetServiceProvider,MN,AS9484 Mobinet LLC. AS Mobinet Internet Service Provider
SkymediaCorporationLLC,MN,AS10219 SKYMEDIA CORPORATION LLC
"STXCitinet,LeadingInternet&VOIPServiceProvid",MN,"AS38805 STXCitinet, Leading Internet & VOIP Service Provider, Ulaanbaatar, Mongolia"
Univision,MN,AS17882 Univision LLC
G-MobileCorporation,PH,AS132199 Globe Telecom Inc.
MongoliaTelecom,MN,AS9934 Mongolia Telecom
VodacomTanzania,TZ,AS36908 Vodacom Tanzania Ltd
MaishaBroadband,TZ,AS37349 Aptus Solutions Ltd
HabariNode,TZ,AS36909 Habari Node Public Limited
University-of-Dodoma,,
Simbanet,TZ,AS15399 Wananchi Group (Kenya) Limited
MicTanzania,TZ,AS37035 MIC TANZANIA LTD
TTCLDATA,TZ,AS33765 TANZANIA TELECOMMUNICATIONS CO. LTD
Maas-Computers-and-Networks,,
Wananchi,KE,AS15399 Wananchi Group (Kenya) Limited
LiquidIntelligentTechnologies,ZA,AS30844 Liquid Telecommunications Ltd
Net-Solutions,BD,AS138024 NETPLUS ONLINE
TelefonicadelSurS.A.,CL,AS14117 Telefonica del Sur S.A.
ClaroChileS.A.,CL,AS6535 Telmex Servicios Empresariales S.A.
MovistarChile,CL,AS7418 TELEFÓNICA CHILE S.A.
MovistarFibra,CL,AS7418 TELEFÓNICA CHILE S.A.
VTRBandaAncha,CL,AS22047 VTR BANDA ANCHA S.A.
MCLInternet,CL,AS10778 MCL Internet
CenturyLinkChile,,
OPTVETELECOMUNICACIONESSpA,CL,AS267818 OPTVE TELECOMUNICACIONES SpA
MundoChile,CL,AS27901 Pacifico Cable SPA.
WOMChile,CL,AS52341 WOM S.A.
GrupoZghSpA,CL,AS263702 GRUPO ZGH SPA
MovistarMovilChile,CL,AS7418 TELEFÓNICA CHILE S.A.
EntelHogarFibra,CL,AS27651 ENTEL CHILE S.A.
"CorporacionFibexTelecom,C.a.",VE,"AS264628 CORPORACION FIBEX TELECOM, C.A."
Vijiji-connect-limited,,
SafaricomBusiness,KE,AS37061 Safaricom Limited
Poa-internet,,
UnwiredCommunicationsLimited,KE,AS328490 Unwired Communications Limited
Telkom,ID,AS23693 PT. Telekomunikasi Selular
Safaricom,KE,AS37061 Safaricom Limited
rasmilink,KE,AS37129 Rasmilink
KEMNET,KE,AS328578 KEMNET TECHNOLOGIES LIMITED
KenyaEducationNetwork,KE,AS36914 Kenya Education Network
iNetAfrica,KE,AS328753 Zeplin Investments Ltd
WaveXISP,KE,AS328977 Wavex Internet Service Provider LTD
AirtelKenya,KE,AS36926 Airtel Networks Kenya Limited
CTGNet,KE,AS23764 CTGNet
TandaaNetworks,KE,AS328734 Blue Streak Horizons Net Limited
Faiba,KE,AS36866 Jamii Telecommunications Limited
LiquidIntelligentTechnologies,ZW,AS30969 Zimbabwe Online (Private) Ltd.
LiquidIntelligentTechnologiesKenya,,
internet-solutions-ke,,
Wananchi,KE,AS15399 Wananchi Group (Kenya) Limited
TelecomFijiLimited,FJ,AS4638 Telecom Fiji Limited
VodafoneFijiLimited,FJ,AS38442 Vodafone Fiji Limited
DigicelFijiLimited,FJ,AS45355 Digicel Fiji Limited
YtlCommunicationsSdnBhd,MY,AS45960 YTL COMMUNICATIONS SDN BHD
DigiMalaysia,MY,AS4818 DiGi Telecommunications Sdn. Bhd.
GBNetworkSolutionsSdn.Bhd.,MY,AS132372 GB Network Solutions Sdn. Bhd.
TMNet,MY,"AS4788 TM Net, Internet Service Provider"
MaxisCommunications,MY,AS9534 Binariang Berhad
UMobileSdnBhd,,
"UniversityITM,ShahAlam,SelangorMalaysia",MY,"AS24020 University ITM, Shah Alam, Selangor Malaysia"
VirusNet,AM,AS207810 Virus Net LLC
Ucom,AM,AS44395 Ucom CJSC
GNC-AlfaCJSC,AM,AS49800 GNC-Alfa CJSC
ArpinetLLC,AM,AS201986 Arpinet LLC
TelecomArmeniaCJSC,AM,AS12297 Telecom Armenia CJSC
BelizeTelemediaLimited,BZ,AS10269 Belize Telemedia Limited
CentaurCable,BZ,AS264663 CENTAUR CABLE
CentralTVandInternetLimited,BZ,AS263824 Central TV and Internet Limited
SpeednetCommunicationsLimited,BZ,AS262239 Speednet Communications Limited
SpeednetWireless,BZ,AS262239 Speednet Communications Limited
UnifiedNationalNetworks,BN,AS10094 Unified National Networks
UnifiedNationalNetworks(UNN)SdnBhd,BN,AS10094 Unified National Networks
CV-Multimedia,CV,AS37517 CV  Multimedia SA
TMAIS,CV,"AS37575 UNITEL T+ Telecomunicacoes, Sociedade Unipessoal, S.A."
MauritiusTelecom,MU,AS23889 Mauritius Telecom Ltd
TheCableofSt.Kitts,KN,AS36290 The Cable of St. Kitts
AndorraTelecomSau,AD,AS6752 ANDORRA TELECOM SAU
EthiopianTelecommunicationCorporation,,
GVA-Canalbox,RW,AS36924 GVA Cote d'Ivoire SAS
ARPCE,,
CongoTelecom,CG,AS37451 CONGO TELECOM
MTNCameroon,CM,AS30992 MTN Network Solutions (Cameroon)
Creolink,CM,AS36905 Creolink Communications
Camtel,CM,AS15964 CAMTEL
EtanetasUab,LT,AS39067 ETANETAS UAB
UABINIT,LT,AS39354 UAB INIT
Splius,LT,"AS25406 SPLIUS, UAB"
Penki,LT,"AS21211 Penkiu kontinentu komunikaciju centras, Ltd."
Tele2Lithuania,LT,AS1257 Tele2 Sverige AB
Balticum,LT,AS39007 UAB Balticum TV
UABCgates,LT,AS21412 UAB Cgates
UABMezon,LT,AS212046 UAB Mezon
"TeliaLietuva,AB",LT,"AS8764 Telia Lietuva, AB"
BiteLietuva,LT,AS13194 UAB Bite Lietuva
TeliaLietuva,LT,"AS8764 Telia Lietuva, AB"
VodafoneCookIslands,,
Sure,GG,AS8680 Sure (Guernsey) Limited
Netservice,PL,AS202228 Krzysztof Jan Klaptocz trading as Netservice
SkywareSp.zo.o.,PL,AS42673 Skyware Sp. z o.o.
